iter	LogCosh
0	2.604089616
1	2.243214207
2	1.952208627
3	1.698014483
4	1.465977248
5	1.26751753
6	1.103344587
7	0.9704978791
8	0.8532702123
9	0.7557650678
10	0.6756096867
11	0.6058726385
12	0.5450052572
13	0.4904961034
14	0.4479394952
15	0.413319578
16	0.3820257638
17	0.3585202362
18	0.3360381636
19	0.3192132406
20	0.30401778
21	0.2910367489
22	0.2780245803
23	0.2672131252
24	0.2592101162
25	0.2520681323
26	0.2440701632
27	0.2382115814
28	0.2334612545
29	0.2292065283
30	0.2252584488
31	0.2221085466
32	0.2192027177
33	0.2166931962
34	0.2144124193
35	0.212603729
36	0.2099890961
37	0.2075888069
38	0.2055885143
39	0.2038668527
40	0.2027361856
41	0.201043056
42	0.199558009
43	0.1987795578
44	0.1974741342
45	0.1957810892
46	0.1950121757
47	0.1934172864
48	0.192577362
49	0.1914249484
50	0.1903434831
51	0.1889183081
52	0.1879040457
53	0.186710883
54	0.1860388925
55	0.1851727916
56	0.1839158481
57	0.182565966
58	0.1818372626
59	0.1808412652
60	0.1796178749
61	0.1786264609
62	0.1777697617
63	0.1768451
64	0.1760346083
65	0.1749640203
66	0.1743035559
67	0.1736197543
68	0.1729682756
69	0.1724126975
70	0.1710930909
71	0.1702987629
72	0.1694259496
73	0.1686528463
74	0.1680220646
75	0.1671659107
76	0.1664758894
77	0.1659934394
78	0.165292109
79	0.1637122926
80	0.1633526994
81	0.1629325257
82	0.1620358584
83	0.1610257465
84	0.1600079834
85	0.158345261
86	0.156964561
87	0.1566142075
88	0.1561112463
89	0.1552517821
90	0.1545993793
91	0.1538359612
92	0.1527433586
93	0.1518499568
94	0.1509002169
95	0.1496075426
96	0.1487580711
97	0.1482474117
98	0.1477230004
99	0.1470078929
100	0.1461488953
101	0.1456277879
102	0.1446829766
103	0.1440749229
104	0.1435715132
105	0.1423896533
106	0.1414702577
107	0.1406202088
108	0.1401171394
109	0.1396829228
110	0.1392217615
111	0.1383134267
112	0.1378179165
113	0.1372329298
114	0.136536984
115	0.1359745102
116	0.1354765158
117	0.1350631707
118	0.1344427823
119	0.1338536612
120	0.1335390796
121	0.1326008496
122	0.131962027
123	0.1313124712
124	0.130769768
125	0.1303666577
126	0.1299475892
127	0.1294185192
128	0.129072944
129	0.128377816
130	0.1277153262
131	0.1272489351
132	0.1266719129
133	0.1260948336
134	0.1256136657
135	0.1251623301
136	0.1247485385
137	0.1243859906
138	0.1240970441
139	0.1236649863
140	0.1232791105
141	0.1229541248
142	0.1224616835
143	0.1218072174
144	0.1213410128
145	0.1208161106
146	0.1204117317
147	0.1198808601
148	0.1193630027
149	0.1188648566
150	0.1184326179
151	0.1181071175
152	0.1176783844
153	0.1172352162
154	0.1168339946
155	0.1163760159
156	0.1160225893
157	0.1154726544
158	0.1150394618
159	0.1147240599
160	0.1143409461
161	0.1139278034
162	0.1135655579
163	0.1128170206
164	0.1124331366
165	0.1121168473
166	0.1117726619
167	0.1115271812
168	0.1110154775
169	0.1107547645
170	0.1103723647
171	0.110052356
172	0.1097942489
173	0.1096254631
174	0.1093509726
175	0.1089515261
176	0.1081653908
177	0.1079716825
178	0.107701914
179	0.1073938519
180	0.1070391646
181	0.1067178986
182	0.1062717121
183	0.1060444178
184	0.105620953
185	0.1053400631
186	0.1052149163
187	0.1047759092
188	0.1045211426
